,Attrition,Age,DistanceFromHome,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,PerformanceRating,JobInvolvement,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,NumCompaniesWorked_Missing,TotalWorkngYears_Missing,EnvironmentSatisfaction_Missing,JobSatisfaction_Missing,WorkLifeBalance_Missing,Age_Bin,Gender_Male,JobRole_Human_Resources,JobRole_Laboratory_Technician,JobRole_Manager,JobRole_Manufacturing_Director,JobRole_Research_Director,JobRole_Research_Scientist,JobRole_Sales_Executive,JobRole_Sales_Representative,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Education_2,Education_3,Education_4,Education_5,EducationField_Life_Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical_Degree,JobLevel_2,JobLevel_3,JobLevel_4,JobLevel_5,MaritalStatus_Married,MaritalStatus_Single,Department_Research_Development,Department_Sales,StockOptionLevel_1,StockOptionLevel_2,StockOptionLevel_3,Age_sd,DistanceFromHome_sd,MonthlyIncome_sd,NumCompaniesWorked_sd,PercentSalaryHike_sd,TotalWorkingYears_sd,TrainingTimesLastYear_sd,YearsAtCompany_sd,YearsSinceLastPromotion_sd,YearsWithCurrManager_sd,PerformanceRating_sd,JobInvolvement_sd,EnvironmentSatisfaction_sd,JobSatisfaction_sd,WorkLifeBalance_sd
0,0,38,22,29790,4.0,12,9.0,3,6,0,5,3,3,2.0,4.0,3.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0.11784484953130571,1.970390618880205,-0.7487601698350649,0.5234888158566704,-0.5694681735766648,-0.29329999878747187,0.1557070814399298,-0.16461310905422863,-0.6791456840737199,0.2458339946348355,0.04825380046037423,-0.03134733829702275,-0.8934248131996299,0.960985988256784,-0.017727612261845094
1,0,30,2,104450,3.0,11,10.0,3,7,1,7,3,3,1.0,3.0,3.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,-0.7581699611438873,-0.836361094437959,0.8376054440063168,0.12240010700539844,-0.8093301263439133,-0.16465605871734387,0.1557070814399298,-0.0013328996684553085,-0.3687152874355457,0.8065414765793013,0.04825380046037423,-0.03134733829702275,-1.836759223476629,-0.0947518717150079,-0.017727612261845094
2,0,37,7,44400,2.0,11,18.0,3,1,0,1,3,4,4.0,3.0,4.0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0.008342998196906572,-0.134673166108418,-0.43832885965260326,-0.2786886018458735,-0.8093301263439133,0.8644954618436801,0.1557070814399298,-0.9810141559830953,-0.6791456840737199,-0.875580969254096,0.04825380046037423,1.1303481397691186,0.9932440073543686,-0.0947518717150079,1.0778887624561249
3,1,37,2,56470,6.0,17,7.0,2,0,0,0,1,2,1.0,3.0,2.0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.008342998196906572,-0.836361094437959,-0.18186712701041902,1.3256662335592142,0.6298415902595776,-0.5505878789277279,-0.6201892226844657,-1.1442943653688686,-0.6791456840737199,-1.1559347102263289,-3.104327829617394,-1.1930428163631641,-1.836759223476629,-0.0947518717150079,-1.113343986979815
4,0,39,21,30670,1.0,20,21.0,5,21,1,6,4,3,2.0,4.0,4.0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.22734670086570485,1.8300530332142968,-0.7300620484825279,-0.6797773106971454,1.3494274485613231,1.250427282054064,1.707499689688721,2.284590031732371,-0.3687152874355457,0.5261877356070683,1.6245446154992582,-0.03134733829702275,-0.8934248131996299,0.960985988256784,1.0778887624561249
5,0,44,13,80200,3.0,11,23.0,2,12,11,11,3,3,4.0,2.0,3.0,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.7748559575377005,0.7073523478870313,0.3223447135528811,0.12240010700539844,-0.8093301263439133,1.5077151621943201,-0.6201892226844657,0.8150681472604113,2.7355886789461965,1.9279564404682328,0.04825380046037423,-0.03134733829702275,0.9932440073543686,-1.1504897316868,-0.017727612261845094
6,0,33,1,21760,1.0,14,6.0,2,6,1,2,3,2,2.0,2.0,4.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,-0.42966440714069,-0.9766986801038673,-0.9193805271769655,-0.6797773106971454,-0.08974426804216784,-0.6792318189978559,-0.6201892226844657,-0.16461310905422863,-0.3687152874355457,-0.5952272282818631,0.04825380046037423,-1.1930428163631641,-0.8934248131996299,-1.1504897316868,1.0778887624561249
7,0,44,1,187110,2.0,12,10.0,0,2,2,2,3,4,4.0,4.0,4.0,1,1,1,1,1,2,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0.7748559575377005,-0.9766986801038673,2.593953979234399,-0.2786886018458735,-0.5694681735766648,-0.16465605871734387,-2.171981830933257,-0.8177339465973219,-0.058284890797371494,-0.5952272282818631,0.04825380046037423,1.1303481397691186,0.9932440073543686,0.960985988256784,1.0778887624561249
8,0,55,1,120310,3.0,11,37.0,5,10,7,7,3,4,4.0,4.0,3.0,1,1,1,1,1,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.979376322216091,-0.9766986801038673,1.1745965856554503,0.12240010700539844,-0.8093301263439133,3.308730323176112,1.707499689688721,0.48850772848886465,1.4938670923934996,0.8065414765793013,0.04825380046037423,1.1303481397691186,0.9932440073543686,0.960985988256784,-0.017727612261845094
9,0,49,7,190330,2.0,18,7.0,5,4,0,2,3,4,3.0,2.0,4.0,1,1,1,1,1,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1.3223652142096962,-0.134673166108418,2.6623721050925457,-0.2786886018458735,0.8697035430268261,-0.5505878789277279,1.707499689688721,-0.4911735278257753,-0.6791456840737199,-0.5952272282818631,0.04825380046037423,1.1303481397691186,0.049909597077369375,-1.1504897316868,1.0778887624561249
