,Attrition,Age,DistanceFromHome,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,PerformanceRating,JobInvolvement,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,NumCompaniesWorked_Missing,TotalWorkngYears_Missing,EnvironmentSatisfaction_Missing,JobSatisfaction_Missing,WorkLifeBalance_Missing,Age_Bin,Gender_Male,JobRole_Human_Resources,JobRole_Laboratory_Technician,JobRole_Manager,JobRole_Manufacturing_Director,JobRole_Research_Director,JobRole_Research_Scientist,JobRole_Sales_Executive,JobRole_Sales_Representative,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Education_2,Education_3,Education_4,Education_5,EducationField_Life_Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical_Degree,JobLevel_2,JobLevel_3,JobLevel_4,JobLevel_5,MaritalStatus_Married,MaritalStatus_Single,Department_Research_Development,Department_Sales,StockOptionLevel_1,StockOptionLevel_2,StockOptionLevel_3,Age_sd,DistanceFromHome_sd,MonthlyIncome_sd,NumCompaniesWorked_sd,PercentSalaryHike_sd,TotalWorkingYears_sd,TrainingTimesLastYear_sd,YearsAtCompany_sd,YearsSinceLastPromotion_sd,YearsWithCurrManager_sd,PerformanceRating_sd,JobInvolvement_sd,EnvironmentSatisfaction_sd,JobSatisfaction_sd,WorkLifeBalance_sd
648,0,44,4,23190,3.0,18,7.0,4,5,0,3,3,3,4.0,4.0,3.0,1,1,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.7748559575377005,-0.5556859231061426,-0.8889960799790928,0.12240010700539844,0.8697035430268261,-0.5505878789277279,0.9316033855643254,-0.32789331844000197,-0.6791456840737199,-0.3148734873096303,0.04825380046037423,-0.03134733829702275,0.9932440073543686,0.960985988256784,-0.017727612261845094
3105,0,41,21,54850,2.0,17,7.0,2,4,0,3,3,3,4.0,2.0,3.0,1,1,1,1,1,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0.4463504035345031,1.8300530332142968,-0.21628866859122586,-0.2786886018458735,0.6298415902595776,-0.5505878789277279,-0.6201892226844657,-0.4911735278257753,-0.6791456840737199,-0.3148734873096303,0.04825380046037423,-0.03134733829702275,0.9932440073543686,-1.1504897316868,-0.017727612261845094
63,0,27,2,168230,0.0,17,6.0,3,5,1,4,3,4,4.0,4.0,3.0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-1.0866755151470848,-0.836361094437959,2.192794284761786,-1.0808660195484174,0.6298415902595776,-0.6792318189978559,0.1557070814399298,-0.32789331844000197,-0.3687152874355457,-0.034519746337397406,0.04825380046037423,1.1303481397691186,0.9932440073543686,0.960985988256784,-0.017727612261845094
852,0,37,15,27030,2.0,14,19.0,2,10,4,7,3,2,1.0,1.0,4.0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0.008342998196906572,0.9880275192188477,-0.8074042777134766,-0.2786886018458735,-0.08974426804216784,0.993139401913808,-0.6201892226844657,0.48850772848886465,0.5625759024789769,0.8065414765793013,0.04825380046037423,-1.1930428163631641,-1.836759223476629,-2.206227591658592,1.0778887624561249
3423,0,54,1,23620,6.0,11,9.0,2,5,1,4,3,4,4.0,4.0,3.0,1,1,1,1,1,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1.869874470881692,-0.9766986801038673,-0.8798594979545576,1.3256662335592142,-0.8093301263439133,-0.29329999878747187,-0.6201892226844657,-0.32789331844000197,-0.3687152874355457,-0.034519746337397406,0.04825380046037423,1.1303481397691186,0.9932440073543686,0.960985988256784,-0.017727612261845094
4169,1,33,13,71400,5.0,16,8.0,2,5,0,4,4,4,4.0,3.0,2.0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-0.42966440714069,0.7073523478870313,0.13536350002751063,0.9245775247079423,0.3899796374923291,-0.42194393885759984,-0.6201892226844657,-0.32789331844000197,-0.6791456840737199,-0.034519746337397406,1.6245446154992582,1.1303481397691186,0.9932440073543686,-0.0947518717150079,-1.113343986979815
2512,0,45,2,35400,1.0,13,24.0,6,24,9,11,3,3,3.0,4.0,3.0,1,1,1,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8843578088720997,-0.836361094437959,-0.6295596462126413,-0.6797773106971454,-0.3296062208094163,1.636359102264448,2.4833959938131165,2.774430659889691,2.114727885669848,1.9279564404682328,0.04825380046037423,-0.03134733829702275,0.049909597077369375,0.960985988256784,-0.017727612261845094
753,0,38,2,50790,3.0,11,10.0,3,5,0,2,3,4,2.0,3.0,4.0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.11784484953130571,-0.836361094437959,-0.3025550011949763,0.12240010700539844,-0.8093301263439133,-0.16465605871734387,0.1557070814399298,-0.32789331844000197,-0.6791456840737199,-0.5952272282818631,0.04825380046037423,1.1303481397691186,-0.8934248131996299,-0.0947518717150079,1.0778887624561249
4066,1,25,19,198590,3.0,13,6.0,3,3,2,2,2,3,1.0,2.0,1.0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,-1.3056792178158831,1.5493778618824803,2.837879471424314,0.12240010700539844,-0.3296062208094163,-0.6792318189978559,0.1557070814399298,-0.6544537372115486,-0.058284890797371494,-0.5952272282818631,-1.5280370145785098,-0.03134733829702275,-1.836759223476629,-1.1504897316868,-2.208960361697785
916,0,31,7,161240,2.0,23,8.0,2,5,1,4,4,2,4.0,3.0,3.0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-0.6486681098094882,-0.134673166108418,2.0442717072001564,-0.2786886018458735,2.0690133068630687,-0.42194393885759984,-0.6201892226844657,-0.32789331844000197,-0.3687152874355457,-0.034519746337397406,1.6245446154992582,-1.1930428163631641,0.9932440073543686,-0.0947518717150079,-0.017727612261845094
