"term","justice","justiceName","post_mn","post_sd","post_med","post_025","post_975"
2020,117,"ACBarrett",1.219,0.363,1.201,0.557,1.975
2021,117,"ACBarrett",1.347,0.349,1.326,0.717,2.085
1965,97,"AFortas",-1.33,0.264,-1.321,-1.869,-0.827
1966,97,"AFortas",-1.513,0.224,-1.508,-1.971,-1.096
1967,97,"AFortas",-1.353,0.227,-1.347,-1.818,-0.93
1968,97,"AFortas",-1.096,0.292,-1.08,-1.71,-0.561
1962,96,"AJGoldberg",-1.154,0.226,-1.145,-1.616,-0.734
1963,96,"AJGoldberg",-1.287,0.205,-1.282,-1.699,-0.898
1964,96,"AJGoldberg",-0.785,0.253,-0.777,-1.306,-0.31
1987,106,"AMKennedy",1.22,0.28,1.213,0.693,1.786
1988,106,"AMKennedy",1.486,0.229,1.478,1.058,1.959
1989,106,"AMKennedy",1.357,0.218,1.355,0.943,1.797
1990,106,"AMKennedy",1.202,0.215,1.198,0.791,1.632
1991,106,"AMKennedy",0.859,0.202,0.857,0.473,1.27
1992,106,"AMKennedy",1.032,0.213,1.027,0.631,1.465
1993,106,"AMKennedy",0.873,0.217,0.871,0.467,1.309
1994,106,"AMKennedy",0.849,0.211,0.847,0.442,1.265
1995,106,"AMKennedy",0.739,0.21,0.735,0.333,1.158
1996,106,"AMKennedy",0.831,0.212,0.826,0.421,1.248
1997,106,"AMKennedy",0.826,0.224,0.821,0.394,1.273
1998,106,"AMKennedy",0.953,0.222,0.948,0.534,1.4
1999,106,"AMKennedy",1.09,0.226,1.085,0.664,1.546
2000,106,"AMKennedy",0.964,0.222,0.957,0.543,1.42
2001,106,"AMKennedy",1.058,0.228,1.054,0.619,1.514
2002,106,"AMKennedy",0.899,0.237,0.895,0.438,1.382
2003,106,"AMKennedy",0.768,0.225,0.766,0.34,1.213
2004,106,"AMKennedy",0.544,0.225,0.54,0.107,0.995
2005,106,"AMKennedy",0.499,0.222,0.499,0.077,0.934
2006,106,"AMKennedy",0.458,0.203,0.457,0.067,0.859
